From,To,domain,label,TTL
192.168.0.1,10.5.82.1,google.com,1,2
10.5.82.1,192.168.41.149,google.com,1,3
192.168.41.149,103.232.241.70,google.com,1,4
103.232.241.70,103.232.241.2,google.com,1,5
103.232.241.2,10.119.254.121,google.com,1,6
10.119.254.121,10.119.73.122,google.com,1,9
10.119.73.122,72.14.213.20,google.com,1,10
72.14.213.20,142.251.227.213,google.com,1,11
142.251.227.213,142.250.228.81,google.com,1,12
142.250.228.81,142.250.67.46,google.com,1,13
192.168.0.1,10.5.82.1,youtube.com,1,2
10.5.82.1,192.168.41.149,youtube.com,1,3
192.168.41.149,103.232.241.70,youtube.com,1,4
103.232.241.70,103.232.241.2,youtube.com,1,5
103.232.241.2,10.119.254.121,youtube.com,1,6
10.119.254.121,10.119.73.122,youtube.com,1,9
10.119.73.122,72.14.213.20,youtube.com,1,10
72.14.213.20,142.251.227.211,youtube.com,1,11
142.251.227.211,142.251.55.247,youtube.com,1,12
142.251.55.247,142.250.182.78,youtube.com,1,13
192.168.0.1,10.5.82.1,ed.ac.uk,1,2
10.5.82.1,192.168.41.149,ed.ac.uk,1,3
192.168.41.149,103.232.241.70,ed.ac.uk,1,4
103.232.241.70,103.232.241.2,ed.ac.uk,1,5
103.232.241.2,10.119.254.121,ed.ac.uk,1,6
10.119.254.121,10.160.24.5,ed.ac.uk,1,7
10.160.24.5,10.255.232.201,ed.ac.uk,1,8
10.255.232.201,180.149.48.18,ed.ac.uk,1,9
180.149.48.18,180.149.48.2,ed.ac.uk,1,10
180.149.48.2,180.149.48.29,ed.ac.uk,1,11
180.149.48.29,62.40.125.214,ed.ac.uk,1,12
62.40.125.214,62.40.98.239,ed.ac.uk,1,13
62.40.98.239,62.40.98.106,ed.ac.uk,1,14
62.40.98.106,62.40.98.64,ed.ac.uk,1,15
62.40.98.64,62.40.124.198,ed.ac.uk,1,16
62.40.124.198,146.97.33.2,ed.ac.uk,1,17
146.97.33.2,146.97.33.22,ed.ac.uk,1,18
146.97.33.22,146.97.33.42,ed.ac.uk,1,19
146.97.33.42,146.97.33.54,ed.ac.uk,1,20
146.97.33.54,146.97.38.38,ed.ac.uk,1,21
146.97.38.38,146.97.74.34,ed.ac.uk,1,22
146.97.74.34,146.97.156.78,ed.ac.uk,1,23
146.97.156.78,192.41.103.209,ed.ac.uk,1,24
192.41.103.209,129.215.97.62,ed.ac.uk,1,27
192.168.0.1,10.5.82.1,harvard.edu,1,2
10.5.82.1,192.168.41.149,harvard.edu,1,3
192.168.41.149,103.232.241.70,harvard.edu,1,4
103.232.241.70,103.232.241.2,harvard.edu,1,5
103.232.241.2,10.119.254.121,harvard.edu,1,6
10.119.254.121,10.160.24.5,harvard.edu,1,7
10.160.24.5,10.255.222.33,harvard.edu,1,8
10.255.222.33,115.247.100.29,harvard.edu,1,9
115.247.100.29,49.44.187.157,harvard.edu,1,15
49.44.187.157,151.101.130.133,harvard.edu,1,16
192.168.0.1,10.5.82.1,delugerpg.com,1,2
10.5.82.1,192.168.41.149,delugerpg.com,1,3
192.168.41.149,103.232.241.70,delugerpg.com,1,4
103.232.241.70,103.232.241.2,delugerpg.com,1,5
103.232.241.2,10.119.254.121,delugerpg.com,1,6
10.119.254.121,10.160.24.5,delugerpg.com,1,7
10.160.24.5,10.255.222.33,delugerpg.com,1,8
10.255.222.33,115.247.100.29,delugerpg.com,1,9
115.247.100.29,49.44.187.49,delugerpg.com,1,11
49.44.187.49,172.67.69.31,delugerpg.com,1,12
192.168.31.1,10.5.82.1,friv.com,1,2
10.5.82.1,192.168.41.149,friv.com,1,3
192.168.41.149,103.232.241.70,friv.com,1,4
103.232.241.70,103.232.241.2,friv.com,1,5
103.232.241.2,10.119.254.121,friv.com,1,6
10.119.254.121,10.160.24.5,friv.com,1,7
10.160.24.5,10.255.221.33,friv.com,1,8
10.255.221.33,115.247.100.29,friv.com,1,9
115.247.100.29,210.57.38.112,friv.com,1,14
210.57.38.112,180.87.54.6,friv.com,1,15
180.87.54.6,180.87.107.196,friv.com,1,16
180.87.107.196,207.45.219.128,friv.com,1,21
207.45.219.128,207.45.219.137,friv.com,1,22
207.45.219.137,207.244.69.244,friv.com,1,23
192.168.31.1,10.5.82.1,kongregate.com,1,2
10.5.82.1,192.168.41.149,kongregate.com,1,3
192.168.41.149,103.232.241.70,kongregate.com,1,4
103.232.241.70,103.232.241.2,kongregate.com,1,5
103.232.241.2,10.119.254.121,kongregate.com,1,6
10.119.254.121,10.160.24.5,kongregate.com,1,7
10.160.24.5,10.255.222.33,kongregate.com,1,8
10.255.222.33,115.247.100.29,kongregate.com,1,9
115.247.100.29,13.35.231.20,kongregate.com,1,22
192.168.31.1,10.5.82.1,miniclip.com,1,2
